name,photo_light,light_type,lighting,background_type,image_sharpness,background_sharpness,view,object_view,multiplicity,object_shot,light_source,environment_busyness,environment,water,sky,object_background,stands_on,structures,natural_environment,,location,time,weather,object_property_1,object_property_2,object_property_3,object_property_4,object_property_5,activity,action,age,age_of_living,airplane_type,bicycle_type,bird_type,boat_type,bottle_type,bus_type,car_type,chair_type,motorbike_type,plant_type,train_type,monitor_type,human_emotion
2007_010033,normal,natural,uniform,artificial,sharp,sharp,middle,side/front,multiple,full,diffuse,busy,,no,gray,different,road,,,,outside,day,clear,has_wheels/has_wings,hard,smooth,,multi_color,parked,,contemporary,,passenger,,,,,,,,,,,,
2007_010042,normal,natural,uniform,artificial,sharp,sharp,close,side,single,partial,diffuse,vacant,buildings/grass,no,,different,train_tracks,urban/single_building,,,outside,day,clear,has_wheels,hard,smooth,,multi_color,standing,,contemporary,,,,,,,,,,,,passenger,,
2007_010061,normal,natural,uniform,natural,sharp,sharp,middle,side/front,single,full,diffuse,busy,trees,yes,gray,different,water,,forest,,outside,day,clear,,hard,,,multi_color,anchored,,old,,,,,transport,,,,,,,,,
2007_010123,normal,artificial,uniform,artificial,sharp,sharp,close,side/front,single,full,diffuse,vacant,,no,dark,different,train_tracks,,,,outside,night,clear,has_wheels,hard,smooth,,multi_color,standing,,contemporary,,,,,,,,,,,,diesel,,
2007_010129,normal,natural,uniform,artificial,sharp,fuzzy,close,side/front,single,partial,diffuse,busy,,no,,different,road,,,,outside,day,clear,has_wheels,hard,smooth,,multi_color,standing,,new,,,sports,,,,,,,,,,,
2007_010175,normal,natural,uniform,natural,sharp,sharp,close,side/front,multiple,full,diffuse,vacant,grass,no,,different,natural,,fields,,outside,day,clear,has_legs,soft,fuzzy,has_fur,multi_color,laying,leisure,,young,,,,,,,,,,,,,
2007_010187,normal,natural,uniform,artificial,sharp,sharp,close,front,single,full,diffuse,vacant,,no,,different,,,,,inside,,,,hard,smooth,,multi_color,standing,,contemporary,,,,,,,,,,,,,computer/old,
2007_010323,normal,artificial,uniform,artificial,fuzzy,fuzzy,close,side/front,multiple,partial,diffuse,busy,,no,,similar,,,,,inside,,,,soft,,has_hair,multi_color,,leisure,,young,,,,,,,,,,,,,neutral
2007_010332,normal,natural,uniform,natural,sharp,sharp,middle,side/front,single,full,diffuse,busy,bushes/grass,no,,different,natural,,,,outside,day,clear,has_legs,soft,fuzzy,has_hair,multi_color,standing,,,middle,,,,,,,,,,,,,
2007_010346,normal,artificial,uniform,artificial,sharp,sharp,close,front,single,full,point,busy,,no,,different,,,,,inside,,,,hard,smooth,,multi_color,,,,,,,,,liquor,,,,,,,,
2007_010452,normal,artificial,shadows,artificial,sharp,sharp,close,side/front,single,full,point,vacant,,no,,different,,,,,inside,evening,,,soft,,,multi_color,standing,,contemporary,,,,,,,,,,,,,,
2007_010464,normal,natural,uniform,artificial,sharp,sharp,middle,side/front,multiple,full,diffuse,busy,,no,,different,road,,,,outside,day,clear,has_legs,soft,fuzzy,,multi_color,laying,leisure,,middle,,,,,,,,,,,,,
2007_010491,normal,natural,uniform,artificial,sharp,sharp,close,side/back,single,partial,diffuse,vacant,grass,no,,different,natural,,,,outside,day,clear,,soft,,,multi_color,laying,leisure,,middle,,,,,,,,,,,,,
2007_010529,normal,natural,uniform,artificial,sharp,sharp,far,side/front,single,partial,diffuse,busy,,no,gray/cloudy,different,,,,,outside,day,clear,,hard,,,multi_color,anchored,,contemporary,,,,,cruise,,,,,,,,,
2007_010559,normal,natural,uniform,artificial,sharp,fuzzy,middle,front,single,full,point,vacant,,no,,different,,,,,inside,day,,,hard,smooth,,multi_color,standing,,contemporary,,,,,,water,,,,,,,,
2007_010572,underexposed,artificial,uniform,artificial,sharp,sharp,close,side,multiple,partial,point,busy,buildings,no,,similar,road,urban/single_building,,,outside,night,clear,has_wheels,hard,smooth,,multi_color,parked,,contemporary,,,sports,,,,,,,,,,,
2007_010629,normal,natural,uniform,artificial,sharp,sharp,middle,side,single,full,diffuse,vacant,trees,no,,different,road,single_building,,,outside,day,clear,has_wheels,hard,smooth,,multi_color,standing,,contemporary,,,,,,,,,,,,passenger/electric,,
2007_010636,normal,natural,uniform,artificial,sharp,sharp,close,side/back,single,full,diffuse,vacant,,no,sunny,different,road,,,,outside,day,clear,,hard,smooth,,multi_color,parked,,contemporary,,,,,,,,,,,,passenger/electric,,
2007_010661,normal,natural,uniform,artificial,sharp,sharp,middle,side/front,single,partial,diffuse,busy,,no,,different,,,,,inside,day,,,soft,,,multi_color,standing,,contemporary,,,,,,,,,,,,,,
2007_010663,normal,natural,uniform,artificial,sharp,sharp,close,front,single,full,diffuse,vacant,grass,no,,different,road,,,,outside,day,clear,has_wheels,hard,smooth,,multi_color,parked,,new,,,,,,,tour,,,,,,,
2007_010676,normal,natural,uniform,natural,sharp,sharp,close,side,single,full,diffuse,vacant,,no,,different,natural,,,,outside,day,clear,has_legs,soft,fuzzy,has_fur,single_color,laying,,,middle,,,,,,,,,,,,,
2007_010727,underexposed,natural,uniform,artificial,sharp,sharp,middle,side/back,single,full,diffuse,busy,buildings,no,,different,road,urban,,,outside,evening,clear,has_wheels,hard,,,multi_color,parked,,contemporary,,,,,,,city,,,,,,,
2007_010762,normal,artificial,uniform,artificial,sharp,sharp,close,top,single,partial,diffuse,busy,,no,,different,,,,,inside,,,,,,,multi_color,,,contemporary,,,,,,,,,,,,,,
2007_010783,normal,natural,uniform,natural,sharp,sharp,middle,side/front,single,full,diffuse,busy,trees,no,,different,,,forest,,outside,day,clear,has_legs,soft,,,multi_color,riding,sport,,young,,,,,,,,,,,,,neutral
2007_010799,normal,natural,uniform,natural,sharp,fuzzy,close,side/front,single,partial,diffuse,busy,trees/grass,no,,different,,,forest,,outside,day,clear,,soft,fuzzy,,multi_color,,,,middle,,,,,,,,,,,,,
2007_010804,underexposed,artificial,uniform,artificial,sharp,sharp,far,front,single,partial,diffuse,busy,,no,,similar,,,,,inside,evening,,,soft,,,single_color,standing,,contemporary,,,,,,,,,armchair,,,,,
2007_010830,normal,natural,uniform,artificial,sharp,sharp,close,side/front,single,full,diffuse,busy,,no,,different,,,,,inside,day,,has_legs,hard,smooth,,multi_color,standing,,contemporary,,,,,,,,,,,,,,
2007_010837,normal,natural,uniform,natural,sharp,sharp,middle,side,single,full,diffuse,vacant,,yes,blue,different,water,,forest,,outside,evening,clear,,hard,,,multi_color,sailing,,old,,,,,transport,,,,,,,,,
2007_010847,normal,natural,uniform,artificial,sharp,sharp,close,side/front,single,partial,diffuse,busy,,no,,different,,,,,inside,day,,has_legs,hard,smooth,,multi_color,standing,,contemporary,,,,,,,,,,,,,,
2007_010925,normal,natural,uniform,artificial,sharp,fuzzy,close,front,single,full,diffuse,vacant,buildings,no,,different,natural,rural,,,outside,day,clear,has_legs,soft,fuzzy,has_fur,single_color,standing,,,middle,,,,,,,,,,,,,
2007_010999,normal,artificial,uniform,artificial,sharp,sharp,middle,side,single,partial,point,vacant,,no,,different,,,,,inside,,,,hard,smooth,,multi_color,,,contemporary,,,,,,beer,,,,,,,,
2007_011154,normal,natural,uniform,artificial,sharp,sharp,middle,side/front,single,partial,diffuse,vacant,,no,,different,,,,,inside,,,,soft,,,single_color,standing,,contemporary,,,,,,,,,,,,,,
2007_011175,normal,artificial,uniform,artificial,sharp,sharp,middle,side,multiple,partial,diffuse,busy,,no,,similar,,,,,inside,,,has_legs,soft,,has_hair,multi_color,sitting,leisure,,middle,,,,,,,,,,,,,neutral
2007_011239,normal,natural,uniform,artificial,sharp,sharp,middle,side/front,multiple,full,diffuse,busy,,no,,similar,,,,,inside,,,,soft,,,single_color,laying,leisure,,middle,,,,,,,,,,,,,
2007_011284,normal,artificial,uniform,artificial,sharp,sharp,close,front,single,partial,diffuse,vacant,,no,,different,,,,,outside,day,clear,has_legs,soft,,has_hair,multi_color,sitting,leisure,,middle,,,,,,,,,,,,,happy
2007_011288,normal,natural,uniform,natural,sharp,fuzzy,middle,side/back,single,full,diffuse,vacant,,no,gray/cloudy,different,,,,,outside,day,clear,has_wheels/has_wings,hard,smooth,,multi_color,landing_taking_off,,contemporary,,passenger,,,,,,,,,,,,
